transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE,MathSpeech_LaTeX_result_medium
ax plus by plus cz equals d,$ax + by + cz = d$,https://www.youtube.com/watch?v=YBajUR3EFSM,A x plus B y plus C z equals D.,A x plus B y plus C z equals d.,$ax+by+cz=D$
x plus 5y plus 10z equals zero,$x + 5y + 10z = 0$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus 5y plus 10z equals 0.,x plus 5y plus 10z equals zero.,$x+5y+10z=0$
"x minus two y minus one and z plus one dot product with one, five, ten","$[x-2,y-1,z+1]\cdot[1,5,10]$",https://www.youtube.com/watch?v=YBajUR3EFSM,"x minus 2, y minus 1, and z plus 1 dot product with 1, 5, 10.","x minus 2, y minus 1, and z plus 1 dot product with 1,510.","$x-2,y-1,z+1.\hskip1.5ptn$"
x minus two plus five times y minus one plus ten times z plus one equals zero,$ (x - 2) + 5(y - 1) + 10(z + 1) = 0 $,https://www.youtube.com/watch?v=YBajUR3EFSM,x minus 2 plus 5 times y minus 1 plus 10 times z plus 1 equals 0.,x minus two plus five times y minus one plus ten times z plus one equals zero.,$x-2+5y-1+10z+1=0$
Ax plus By plus Cz equals D,$Ax + By + Cz = D$,https://www.youtube.com/watch?v=YBajUR3EFSM,A x plus b y plus c is equals d.,ax plus by plus cz equals d.,$Ax+By+Cz=d$
x plus y plus three z equals five,$x + y + 3z = 5$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus y plus phz equals 5.,x plus y plus phase z equals five.,$x+y+\text{phase}z=5$
x plus z equals one,$x + z = 1$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus z equals 1.,x plus z equals one.,$x\oplusz=1$
x plus y equals two,$x + y = 2$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus y equals 2.,x plus y equals 2.,$x\oplusy=2$
A inverse is one over determinant of A times the adjoint matrix,$A^{-1} = \frac{1}{\text{det}(A)} \cdot \text{adj}(A)$,https://www.youtube.com/watch?v=YBajUR3EFSM,A inverse is one of our determinant of A thanks to the adjoint matrix.,A inverse is one of our determinant of A times the adjoint matrix.,$A^{-1}\preceq_{1}(r\detA)\cdot\begin{tikzpicture}$
X equals A inverse B,$X = A^{-1}B$,https://www.youtube.com/watch?v=YBajUR3EFSM,x equals a inverse b.,x equals A inverse B.,$x=a^{-1}b$
log two minus log one,$\log2-\log1$,https://www.youtube.com/watch?v=zUEuKrxgHws ,Log 2 minus log 1.,log 2 minus log 1.,$\log2-\log1$
b minus a over n,$\frac{b - a}{n}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,B minus A over N.,b minus a over n.,$\frac{b-a}{N}$
a half times one plus two thirds plus a half times a half,$1/2\cdot1+2/3+1/2\cdot1/2$,https://www.youtube.com/watch?v=zUEuKrxgHws ,Half times 1 plus 2 thirds plus 1 half times 1 half.,1 half times 1 plus 2 thirds plus 1 half times 1 half.,$\frac{1}{2}(1+\frac{2}{3})+\frac{1}{2}\frac{1}{2}$
y0 plus 4y1 plus y2,$\displaystyle y_0 + 4y_1 + y_2$,https://www.youtube.com/watch?v=zUEuKrxgHws ,y0 plus 4y1 plus y2.,y 0 plus 4 y 1 plus y 2.,$\displaystyleY_{0}+4Y_{1}+Y_{2}$
a half plus n minus 1 plus a half ,$\frac{1}{2}+n-1+\frac{1}{2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,plus n minus 1 plus 1 half.,1 half plus n minus 1 plus 1 half.,$\frac{1}{2}+(n-1)+\frac{1}{2}$
two pi r e to the minus r squared dr,$2\pi r e^{-r^2} dr$ ,https://www.youtube.com/watch?v=zUEuKrxgHws ,2 pi r e to the minus r squared dr.,2 pi r e to the minus r squared dr.,$2\pire^{-r^{2}}dr$
pi minus pi e to the minus r squared,$\pi - \pi e^{-r^2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,pi minus pi e to the minus r squared.,of pi minus pi e to the minus r squared.,$O(\pi-\pie^{-r^{2}})$
square root of pi over 2,$\frac{\sqrt{\pi}}{2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,square root of pi over 2.,The square root of pi over 2.,$\sqrt{\frac{\pi}{2}}$
e to the minus b squared plus x squared,$e^{-(b^2 + x^2)}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,e to the minus b squared plus x squared.,e to the minus b squared plus x squared.,$e^{-b^{2}+x^{2}}$
e to the minus b squared times e to the minus x squared,$e^{-b^2} e^{-x^2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,e to the minus b squared times e to the minus x squared.,E to the minus b squared times e to the minus x squared.,$e^{-b^{2}}e^{-x^{2}}$
minus b squared times the integral from minus infinity to infinity of e to the minus x squared dx,"$\displaystyle -b^2 \int_{-\infty}^{\infty} e^{-x^2} \, dx$",https://www.youtube.com/watch?v=zUEuKrxgHws ,minus b squared times the integral from minus infinity to infinity of e to the minus x squared d x.,Minus b squared times the integral from minus infinity to infinity with e to the minus x squared dx.,$\displaystyle-b^{2}\int_{-\infty}^{\infty}(e^{-x})^{2}dx$
