transcription,LaTeX,Source,whisper_base_predSE,whisper_medium_predSE
ax plus by plus cz equals d,$ax + by + cz = d$,https://www.youtube.com/watch?v=YBajUR3EFSM,A x plus B y plus C z equals D.,A x plus B y plus C z equals d.
x plus 5y plus 10z equals zero,$x + 5y + 10z = 0$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus 5y plus 10z equals 0.,x plus 5y plus 10z equals zero.
"x minus two y minus one and z plus one dot product with one, five, ten","$[x-2,y-1,z+1]\cdot[1,5,10]$",https://www.youtube.com/watch?v=YBajUR3EFSM,"x minus 2, y minus 1, and z plus 1 dot product with 1, 5, 10.","x minus 2, y minus 1, and z plus 1 dot product with 1,510."
x minus two plus five times y minus one plus ten times z plus one equals zero,$ (x - 2) + 5(y - 1) + 10(z + 1) = 0 $,https://www.youtube.com/watch?v=YBajUR3EFSM,x minus 2 plus 5 times y minus 1 plus 10 times z plus 1 equals 0.,x minus two plus five times y minus one plus ten times z plus one equals zero.
Ax plus By plus Cz equals D,$Ax + By + Cz = D$,https://www.youtube.com/watch?v=YBajUR3EFSM,A x plus b y plus c is equals d.,ax plus by plus cz equals d.
x plus y plus three z equals five,$x + y + 3z = 5$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus y plus phz equals 5.,x plus y plus phase z equals five.
x plus z equals one,$x + z = 1$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus z equals 1.,x plus z equals one.
x plus y equals two,$x + y = 2$,https://www.youtube.com/watch?v=YBajUR3EFSM,x plus y equals 2.,x plus y equals 2.
A inverse is one over determinant of A times the adjoint matrix,$A^{-1} = \frac{1}{\text{det}(A)} \cdot \text{adj}(A)$,https://www.youtube.com/watch?v=YBajUR3EFSM,A inverse is one of our determinant of A thanks to the adjoint matrix.,A inverse is one of our determinant of A times the adjoint matrix.
X equals A inverse B,$X = A^{-1}B$,https://www.youtube.com/watch?v=YBajUR3EFSM,x equals a inverse b.,x equals A inverse B.
log two minus log one,$\log2-\log1$,https://www.youtube.com/watch?v=zUEuKrxgHws ,Log 2 minus log 1.,log 2 minus log 1.
b minus a over n,$\frac{b - a}{n}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,B minus A over N.,b minus a over n.
a half times one plus two thirds plus a half times a half,$1/2\cdot1+2/3+1/2\cdot1/2$,https://www.youtube.com/watch?v=zUEuKrxgHws ,Half times 1 plus 2 thirds plus 1 half times 1 half.,1 half times 1 plus 2 thirds plus 1 half times 1 half.
y0 plus 4y1 plus y2,$\displaystyle y_0 + 4y_1 + y_2$,https://www.youtube.com/watch?v=zUEuKrxgHws ,y0 plus 4y1 plus y2.,y 0 plus 4 y 1 plus y 2.
a half plus n minus 1 plus a half ,$\frac{1}{2}+n-1+\frac{1}{2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,plus n minus 1 plus 1 half.,1 half plus n minus 1 plus 1 half.
two pi r e to the minus r squared dr,$2\pi r e^{-r^2} dr$ ,https://www.youtube.com/watch?v=zUEuKrxgHws ,2 pi r e to the minus r squared dr.,2 pi r e to the minus r squared dr.
pi minus pi e to the minus r squared,$\pi - \pi e^{-r^2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,pi minus pi e to the minus r squared.,of pi minus pi e to the minus r squared.
square root of pi over 2,$\frac{\sqrt{\pi}}{2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,square root of pi over 2.,The square root of pi over 2.
e to the minus b squared plus x squared,$e^{-(b^2 + x^2)}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,e to the minus b squared plus x squared.,e to the minus b squared plus x squared.
e to the minus b squared times e to the minus x squared,$e^{-b^2} e^{-x^2}$,https://www.youtube.com/watch?v=zUEuKrxgHws ,e to the minus b squared times e to the minus x squared.,E to the minus b squared times e to the minus x squared.
minus b squared times the integral from minus infinity to infinity of e to the minus x squared dx,"$\displaystyle -b^2 \int_{-\infty}^{\infty} e^{-x^2} \, dx$",https://www.youtube.com/watch?v=zUEuKrxgHws ,minus b squared times the integral from minus infinity to infinity of e to the minus x squared d x.,Minus b squared times the integral from minus infinity to infinity with e to the minus x squared dx.
integral from minus infinity to infinity e to the minus y squared dy,$\displaystyle \int_{-\infty}^{\infty} e^{-y^2} dy$,https://www.youtube.com/watch?v=zUEuKrxgHws ,"integral from minus infinity to infinity, e to the minus y squared dy.",Integral from minus infinity to infinity. e to the minus y squared dy.
pi x2 squared minus x1 squared,$\pi ({x_2}^{2} - {x_1}^{2})$,https://www.youtube.com/watch?v=zUEuKrxgHws ,pi x2 squared minus x1 squared.,Pi x2 squared minus x1 squared.
h of x equal to sine of x plus square root of 3 times cosine of x,$h(x) = \sin(x) + \sqrt{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,h of x equal to sine of x plus squared of three times cosine of x.,h of x equal to sine of x plus square root of 3 times cosine of x.
cosine x minus square root of 3 times sine x,$\cos(x) - \sqrt{3} \sin(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,cosine x minus squared of 3 times sine x.,cosine x minus square root of 3 times sine x.
square root of 3 times tan x,$\sqrt{3} \tan(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,squared of 3 times tan x.,Square root of 3 times tan x.
tan of x is equal to one divided by square root of three,$\tan(x) = \frac{1}{\sqrt{3}}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,tan of x is equal to 1 divided by square root of 3.,Tan of x is equal to 1 divided by square root of 3.
pi over 6,$\frac{\pi}{6}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pile over six.,pi over 6.
pi over 6 plus pi,$\frac{\pi}{6} + \pi$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pi over six plus pies.,Pi over 6 plus pi is...
minus five pi over six,$-\frac{5\pi}{6}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,minus 5 pi over 6.,minus 5 pi over 6.
pi over 6 minus pi,$\frac{\pi}{6} - \pi$,https://www.youtube.com/watch?v=Bb-bgJdOqig,Pile over 6 minus pi.,pi over 6 minus pi.
sine of x plus square root of 3 times cosine x,$\sin(x) + \sqrt{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,It's sine of x plus square root of three times cosine x.,The sine of x plus square root of 3 times cosine x.
h of x equals two times one-half sine x plus square root of three over two,$h(x) = 2 \frac{1}{2} \sin(x) + \frac{\sqrt{3}}{2}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,h of x equals 2 times 1 half sin x plus square root of 3 over 2.,h of x equals 2 times 1 half sine x plus square root of 3 over 2.
pi over 3 sine x plus sine pi over 3 cosine x,$\displaystyle \frac{\pi}{3} \sin(x) + \sin\frac{\pi}{3} \cos(x)$,https://www.youtube.com/watch?v=Bb-bgJdOqig,pi over 3 sine x plus sine pi over 3 cosine x.,pi over 3 sine x plus sine pi over 3 cosine x.
two times sine of x plus pi over three,$2\sin(x) + \frac{\pi}{3}$,https://www.youtube.com/watch?v=Bb-bgJdOqig,2 times sine of x plus pi over 3.,2 times sine of x plus pi over 3.
